Id,Temperature,Humidity,DustDensity,MQ7,Light,Rain,Timestamp
1,32,36,-0.09,36,854,"=1013 ",2024-08-09 23:04:52.213
2,32,36,0.00,35,852,"=1014 ",2024-08-09 23:04:56.400
5,32,36,0.00,36,852,"=1014 ",2024-08-09 23:05:08.953
7,32,36,0.00,35,852,"=1014 ",2024-08-09 23:05:17.303
10,32,36,0.02,36,853,"=1014 ",2024-08-09 23:05:29.743
13,32,36,0.09,35,854,"=1014 ",2024-08-09 23:05:42.250
14,39,56,0.68,40,50,"=1012 ",2024-08-11 16:49:17.723
15,39,56,0.68,39,50,"=1012 ",2024-08-11 16:49:21.867
17,39,56,0.69,39,50,"=1012 ",2024-08-11 16:49:30.200
20,39,55,0.69,39,50,"=1012 ",2024-08-11 16:49:42.607
23,39,55,0.69,38,50,"=1013 ",2024-08-11 16:49:55.043
26,39,55,0.69,37,50,"=1013 ",2024-08-11 16:50:07.480
28,39,55,0.69,37,50,"=1012 ",2024-08-11 16:50:15.773
31,40,54,0.69,37,51,"=1012 ",2024-08-11 16:50:28.240
34,40,53,0.69,36,52,"=1013 ",2024-08-11 16:50:40.673
37,40,53,0.68,36,52,"=1012 ",2024-08-11 16:50:53.097
39,40,53,0.68,36,52,"=1012 ",2024-08-11 16:51:01.380
42,40,53,0.69,36,53,"=1013 ",2024-08-11 16:51:13.817
45,40,53,0.69,35,54,"=1012 ",2024-08-11 16:51:26.277
48,40,53,0.69,32,56,"=1023 ",2024-08-11 16:51:38.757
50,40,52,0.68,35,58,"=1012 ",2024-08-11 16:51:47.030
53,40,52,0.69,35,62,"=1012 ",2024-08-11 16:51:59.497
56,40,51,0.69,34,64,"=1012 ",2024-08-11 16:52:11.887
59,40,52,0.69,34,68,"=1013 ",2024-08-11 16:52:24.310
61,40,52,0.68,34,69,"=1012 ",2024-08-11 16:52:32.600
64,40,51,0.69,34,72,"=1012 ",2024-08-11 16:52:45.020
67,40,52,0.69,34,76,"=1012 ",2024-08-11 16:52:57.440
70,40,52,0.69,33,83,"=1012 ",2024-08-11 16:53:09.940
72,40,52,0.69,33,87,"=1012 ",2024-08-11 16:53:18.217
75,40,52,0.68,33,94,"=1012 ",2024-08-11 16:53:30.693
78,40,52,0.67,33,99,"=1012 ",2024-08-11 16:53:43.157
81,40,52,0.68,33,102,"=1010 ",2024-08-11 16:53:55.580
83,40,52,0.68,33,105,"=1013 ",2024-08-11 16:54:03.893
86,40,52,0.68,33,110,"=1012 ",2024-08-11 16:54:16.337
